event_id,customer_id,event_date,event_type
1,1,2023-11-06,video_watch
2,1,2024-09-27,video_watch
3,1,2025-05-25,search
4,1,2025-10-24,search
5,1,2024-02-24,profile_update
6,1,2024-01-24,login
7,1,2023-01-11,profile_update
8,1,2023-10-05,video_watch
9,1,2023-08-19,profile_update
10,1,2023-05-18,login
11,1,2024-08-29,search
12,1,2023-03-22,video_watch
13,1,2023-07-25,login
14,1,2025-06-18,video_watch
15,1,2025-05-26,login
16,1,2024-01-30,search
17,1,2023-12-03,login
18,1,2025-02-19,login
19,1,2025-04-12,video_watch
20,1,2025-06-30,search
21,1,2024-06-07,video_watch
22,1,2024-02-17,login
23,1,2023-04-19,search
24,1,2025-04-05,video_watch
25,1,2025-06-27,subscription_page
26,2,2023-10-02,login
27,2,2024-05-04,subscription_page
28,2,2024-12-29,login
29,2,2023-09-01,search
30,2,2024-12-25,login
31,2,2023-06-13,subscription_page
32,2,2023-03-04,video_watch
33,2,2023-06-28,download
34,2,2024-06-08,subscription_page
35,2,2023-11-07,login
36,2,2023-05-10,video_watch
37,2,2025-07-15,video_watch
38,2,2025-11-14,login
39,2,2023-06-09,search
40,2,2025-04-27,profile_update
41,2,2023-10-07,login
42,2,2023-06-19,login
43,2,2024-01-15,login
44,2,2023-06-13,video_watch
45,2,2024-10-01,login
46,2,2024-11-15,search
47,2,2023-01-21,search
48,2,2023-04-19,video_watch
49,2,2025-05-21,login
50,2,2023-10-07,login
51,2,2025-06-23,search
52,2,2024-08-26,login
53,3,2023-06-05,login
54,3,2025-01-17,subscription_page
55,3,2024-01-21,search
56,3,2023-09-05,video_watch
57,3,2024-05-24,search
58,3,2023-03-28,subscription_page
59,3,2025-07-19,video_watch
60,3,2025-10-10,profile_update
61,3,2025-05-12,profile_update
62,3,2025-04-04,login
63,3,2024-02-04,search
64,3,2023-01-10,video_watch
65,3,2024-12-19,video_watch
66,3,2024-05-04,subscription_page
67,3,2024-08-03,subscription_page
68,3,2024-04-04,login
69,3,2023-11-25,subscription_page
70,3,2024-05-20,login
71,3,2024-04-22,login
72,3,2024-12-27,login
73,3,2025-01-15,video_watch
74,3,2024-07-19,download
75,3,2025-06-17,video_watch
76,3,2024-02-25,subscription_page
77,4,2024-09-07,search
78,4,2023-11-25,login
79,4,2023-06-24,login
80,4,2023-08-22,login
81,4,2023-04-29,video_watch
82,4,2024-11-19,video_watch
83,4,2023-05-29,login
84,4,2023-06-01,login
85,4,2024-11-12,search
86,4,2024-08-11,video_watch
87,4,2025-02-14,video_watch
88,4,2024-09-23,download
89,4,2025-04-21,login
90,4,2024-05-03,video_watch
91,4,2023-09-08,video_watch
92,4,2025-01-22,video_watch
93,5,2023-05-14,video_watch
94,5,2024-05-08,search
95,5,2024-09-09,download
96,5,2025-08-30,login
97,5,2023-06-14,login
98,5,2024-08-04,search
99,5,2024-11-23,download
100,5,2023-12-01,video_watch
101,5,2024-09-28,download
102,5,2023-01-03,video_watch
103,5,2024-11-15,login
104,5,2024-01-23,video_watch
105,5,2023-08-07,download
106,5,2024-03-15,login
107,5,2023-07-29,login
108,5,2025-11-08,search
109,5,2024-11-04,login
110,5,2023-02-06,video_watch
111,5,2024-11-13,subscription_page
112,5,2025-07-07,video_watch
113,5,2025-08-05,video_watch
114,5,2024-01-11,login
115,5,2024-02-11,video_watch
116,5,2024-04-19,login
117,5,2023-01-17,search
118,5,2023-08-25,login
119,5,2024-03-08,search
120,6,2024-11-11,download
121,6,2025-08-09,search
122,6,2025-01-22,video_watch
123,6,2025-05-25,search
124,6,2024-11-07,login
125,6,2023-05-21,login
126,6,2024-03-25,profile_update
127,6,2025-04-29,video_watch
128,6,2024-02-25,video_watch
129,6,2025-06-22,search
130,6,2023-07-04,video_watch
131,6,2025-08-22,search
132,6,2025-05-01,login
133,7,2023-06-23,login
134,7,2024-07-29,video_watch
135,7,2024-03-12,login
136,7,2025-10-27,login
137,7,2024-09-25,video_watch
138,7,2024-06-08,video_watch
139,7,2023-09-11,profile_update
140,7,2024-07-26,video_watch
141,7,2023-08-03,subscription_page
142,7,2024-08-24,login
143,7,2024-07-21,video_watch
144,7,2024-07-05,video_watch
145,7,2024-04-10,download
146,7,2023-12-17,search
147,7,2025-08-07,search
148,7,2024-11-17,login
149,7,2024-02-20,download
150,7,2023-03-18,video_watch
151,7,2025-09-14,login
152,7,2024-08-10,video_watch
153,7,2025-02-19,login
154,7,2025-05-31,search
155,7,2023-11-20,download
156,7,2024-10-16,login
157,7,2023-11-06,login
158,7,2024-10-25,login
159,8,2025-03-28,video_watch
160,8,2024-04-20,login
161,8,2024-03-09,login
162,8,2024-12-11,video_watch
163,8,2025-03-19,search
164,8,2025-02-22,download
165,8,2025-01-03,login
166,8,2024-01-30,login
167,8,2025-02-09,video_watch
168,8,2023-01-19,subscription_page
169,8,2023-09-04,profile_update
170,8,2023-12-08,video_watch
171,8,2025-07-12,video_watch
172,8,2023-12-08,search
173,8,2024-09-24,video_watch
174,8,2024-08-18,download
175,8,2024-08-07,video_watch
176,8,2023-11-09,login
177,8,2024-08-31,video_watch
178,8,2025-02-28,login
179,8,2023-10-27,login
180,8,2023-08-24,login
181,8,2023-07-30,login
182,9,2025-04-16,login
183,9,2023-12-11,video_watch
184,9,2023-11-15,video_watch
185,9,2025-10-13,search
186,9,2024-09-26,search
187,9,2023-07-27,video_watch
188,9,2023-01-17,video_watch
189,9,2023-09-11,video_watch
190,9,2024-03-21,login
191,9,2025-06-02,login
192,9,2025-09-09,video_watch
193,9,2023-11-24,search
194,9,2023-11-03,download
195,9,2024-08-29,subscription_page
196,9,2025-07-09,login
197,9,2023-08-23,login
198,9,2025-02-23,video_watch
199,9,2025-11-07,video_watch
200,9,2024-01-16,profile_update
201,9,2025-02-06,login
202,9,2023-01-31,login
203,9,2024-12-05,login
204,9,2023-08-24,video_watch
205,9,2024-11-04,download
206,9,2025-02-07,video_watch
207,9,2023-09-17,login
208,9,2025-06-14,login
209,9,2025-10-18,profile_update
210,10,2023-12-12,login
211,10,2024-09-28,subscription_page
212,10,2025-03-24,login
213,10,2024-10-22,login
214,10,2024-01-13,search
215,10,2024-11-10,search
216,10,2024-05-02,login
217,10,2025-05-12,video_watch
218,10,2024-03-21,download
219,10,2025-05-13,video_watch
220,10,2024-11-16,search
221,10,2025-10-24,login
222,10,2024-06-16,video_watch
223,10,2024-08-27,login
224,10,2024-09-01,video_watch
225,10,2024-07-13,login
226,10,2024-06-06,login
227,10,2024-12-09,search
228,11,2025-08-31,login
229,11,2023-03-27,login
230,11,2023-04-14,search
231,11,2025-01-09,search
232,11,2024-03-15,login
233,11,2025-05-18,profile_update
234,11,2023-08-17,login
235,11,2023-06-20,video_watch
236,11,2023-12-07,login
237,11,2024-06-20,download
238,11,2024-06-27,download
239,11,2023-12-22,search
240,11,2025-10-16,login
241,11,2025-10-12,subscription_page
242,11,2024-06-19,login
243,11,2024-03-11,search
244,11,2023-12-23,download
245,11,2025-05-21,login
246,11,2025-02-16,video_watch
247,11,2024-11-17,login
248,11,2024-02-09,video_watch
249,11,2025-02-28,download
250,11,2023-01-15,search
251,11,2025-08-28,login
252,11,2025-06-18,download
253,11,2025-03-16,profile_update
254,11,2024-05-28,login
255,12,2024-08-14,login
256,12,2024-01-31,video_watch
257,12,2023-05-12,profile_update
258,12,2023-04-28,login
259,12,2023-12-05,login
260,12,2024-04-06,video_watch
261,12,2024-12-18,login
262,12,2024-07-16,video_watch
263,12,2024-09-14,download
264,12,2024-03-09,video_watch
265,12,2024-10-28,profile_update
266,12,2023-09-22,video_watch
267,12,2023-05-21,search
268,12,2023-08-27,download
269,12,2025-04-15,video_watch
270,12,2024-07-18,video_watch
271,12,2025-10-31,search
272,12,2025-09-09,video_watch
273,12,2024-06-20,search
274,12,2025-09-11,search
275,12,2023-05-19,login
276,12,2025-03-15,profile_update
277,12,2024-06-28,search
278,13,2024-02-03,video_watch
279,13,2024-07-26,video_watch
280,13,2024-01-17,login
281,13,2024-09-26,video_watch
282,13,2023-02-04,login
283,13,2025-09-02,search
284,13,2023-09-22,login
285,13,2025-08-07,video_watch
286,13,2025-09-10,login
287,13,2023-02-16,search
288,13,2024-11-09,login
289,13,2023-02-14,profile_update
290,13,2025-09-11,profile_update
291,13,2023-03-27,download
292,13,2023-06-26,search
293,13,2024-09-29,search
294,13,2024-08-10,login
295,13,2024-09-29,search
296,13,2023-04-24,subscription_page
297,13,2024-09-03,login
298,13,2025-09-14,video_watch
299,13,2025-09-01,login
300,13,2025-05-09,video_watch
301,13,2025-03-20,video_watch
302,13,2023-06-02,video_watch
303,13,2024-01-21,login
304,13,2023-05-19,download
305,14,2023-11-14,search
306,14,2024-02-11,login
307,14,2025-05-12,video_watch
308,14,2024-11-25,download
309,14,2023-05-09,subscription_page
310,14,2024-01-01,subscription_page
311,14,2025-07-23,search
312,14,2024-11-15,download
313,14,2023-01-20,search
314,14,2024-07-25,video_watch
315,14,2025-06-27,video_watch
316,14,2023-11-19,video_watch
317,14,2023-06-22,subscription_page
318,14,2025-07-22,login
319,14,2023-08-31,profile_update
320,14,2024-11-04,search
321,14,2024-10-21,video_watch
322,14,2023-09-04,video_watch
323,14,2025-09-11,download
324,15,2024-06-11,subscription_page
325,15,2024-12-06,search
326,15,2025-06-29,login
327,15,2024-11-20,search
328,15,2025-09-21,search
329,15,2025-06-02,download
330,15,2023-01-07,video_watch
331,15,2025-04-07,login
332,15,2023-04-06,login
333,15,2023-04-24,search
334,15,2023-09-29,video_watch
335,15,2023-09-18,login
336,15,2023-09-21,login
337,15,2023-06-09,video_watch
338,15,2025-05-08,video_watch
339,15,2025-09-01,search
340,15,2023-09-15,login
341,15,2023-09-05,search
342,15,2023-10-15,login
343,16,2023-01-13,login
344,16,2025-04-18,search
345,16,2023-10-15,subscription_page
346,16,2025-09-16,download
347,16,2023-12-24,login
348,16,2025-06-17,login
349,16,2023-09-13,login
350,16,2024-07-10,video_watch
351,16,2024-06-08,login
352,16,2024-07-08,download
353,16,2023-02-13,login
354,16,2025-01-04,search
355,16,2024-08-11,search
356,16,2024-05-05,login
357,16,2023-08-06,download
358,17,2024-07-06,subscription_page
359,17,2023-08-04,login
360,17,2025-01-12,video_watch
361,17,2024-09-13,login
362,17,2023-11-12,search
363,17,2025-02-05,video_watch
364,17,2023-03-16,video_watch
365,17,2024-12-24,profile_update
366,17,2023-09-19,login
367,17,2025-09-17,login
368,17,2025-02-23,video_watch
369,17,2023-01-05,search
370,17,2023-05-28,login
371,17,2025-09-01,video_watch
372,17,2024-03-03,video_watch
373,17,2024-10-09,download
374,17,2024-07-03,search
375,17,2024-04-21,video_watch
376,17,2023-06-23,login
377,17,2023-03-14,search
378,17,2025-01-14,login
379,17,2023-03-20,login
380,17,2023-05-19,profile_update
381,17,2025-10-27,video_watch
382,17,2024-12-25,search
383,18,2024-06-13,search
384,18,2025-10-09,search
385,18,2023-09-19,login
386,18,2024-10-02,login
387,18,2023-11-03,login
388,18,2024-07-03,video_watch
389,18,2023-12-13,video_watch
390,18,2023-02-11,video_watch
391,18,2023-03-18,login
392,18,2025-03-29,download
393,18,2025-01-19,login
394,18,2025-07-24,search
395,18,2025-01-13,search
396,18,2025-04-10,profile_update
397,18,2024-05-26,login
398,18,2025-10-27,search
399,18,2024-09-18,login
400,18,2023-08-03,search
401,18,2023-08-09,profile_update
402,18,2023-09-18,search
403,18,2025-10-20,search
404,18,2025-03-11,video_watch
405,18,2024-10-07,search
406,18,2025-09-18,video_watch
407,18,2024-04-22,login
408,18,2025-03-29,login
409,19,2024-01-12,video_watch
410,19,2024-08-25,search
411,19,2025-03-10,login
412,19,2024-10-17,video_watch
413,19,2024-06-02,subscription_page
414,19,2025-07-07,search
415,19,2024-01-12,login
416,19,2025-05-12,video_watch
417,19,2025-05-19,download
418,19,2023-11-13,search
419,19,2024-06-27,search
420,19,2023-03-16,login
421,19,2023-08-05,search
422,19,2024-03-24,search
423,19,2025-06-07,search
424,19,2024-01-28,profile_update
425,19,2023-11-12,login
426,19,2025-03-23,search
427,19,2024-01-14,search
428,19,2025-11-07,login
429,19,2024-07-11,subscription_page
430,19,2024-04-06,download
431,19,2025-09-03,video_watch
432,19,2023-09-23,download
433,19,2024-06-01,video_watch
434,19,2024-12-02,video_watch
435,19,2024-04-08,login
436,19,2023-09-06,subscription_page
437,19,2024-07-09,login
438,20,2024-07-22,login
439,20,2023-07-11,search
440,20,2025-08-17,download
441,20,2023-07-12,download
442,20,2023-01-25,video_watch
443,20,2023-08-05,video_watch
444,20,2023-09-24,video_watch
