transaction_id,customer_id,transaction_date,amount,payment_method
1,1,2023-04-23,324.75,Card
2,1,2023-05-22,279.79,UPI
3,1,2023-06-13,247.26,NetBanking
4,1,2023-07-18,231.65,Wallet
5,1,2023-09-10,355.81,NetBanking
6,1,2023-10-15,247.04,Card
7,1,2023-11-16,331.01,UPI
8,1,2023-12-12,308.75,UPI
9,2,2024-03-19,329.94,UPI
10,2,2024-04-19,248.19,NetBanking
11,2,2024-05-10,292.82,UPI
12,2,2024-06-17,268.11,Wallet
13,2,2024-07-14,271.36,Card
14,2,2024-08-17,254.86,Card
15,2,2024-09-08,348.16,Card
16,2,2024-10-13,240.41,Card
17,2,2024-12-12,351.46,Wallet
18,2,2025-01-09,315.1,NetBanking
19,2,2025-03-10,330.43,Wallet
20,2,2025-05-07,282.26,NetBanking
21,3,2025-05-14,850.9,Wallet
22,3,2025-06-13,934.36,NetBanking
23,3,2025-07-09,964.23,UPI
24,3,2025-09-11,955.65,Card
25,3,2025-10-18,817.71,UPI
26,3,2025-11-17,891.18,UPI
27,3,2026-01-12,971.21,UPI
28,3,2026-02-14,840.02,Card
29,3,2026-03-10,1147.02,Wallet
30,3,2026-06-09,875.29,NetBanking
31,3,2026-07-06,910.15,Card
32,4,2023-10-31,275.88,UPI
33,4,2023-11-28,288.44,UPI
34,5,2023-05-23,696.51,Card
35,5,2023-06-19,519.02,Card
36,5,2023-07-25,596.65,Wallet
37,5,2023-08-19,535.57,Wallet
38,5,2023-09-24,496.67,NetBanking
39,5,2023-11-18,621.12,Card
40,5,2023-12-16,520.25,UPI
41,5,2024-01-15,581.53,Wallet
42,5,2024-02-18,599.16,Wallet
43,6,2023-03-20,221.11,UPI
44,6,2023-04-22,280.61,Wallet
45,6,2023-06-14,327.52,Card
46,6,2023-08-10,337.74,Wallet
47,6,2023-09-16,321.43,Card
48,6,2023-10-13,312.61,Wallet
49,6,2023-11-19,268.34,UPI
50,6,2023-12-10,240.17,Card
51,6,2024-01-10,334.39,UPI
52,7,2024-12-12,273.45,UPI
53,7,2025-01-01,227.95,NetBanking
54,7,2025-03-06,281.0,NetBanking
55,7,2025-05-07,344.88,UPI
56,7,2025-06-03,322.45,Card
57,7,2025-07-02,252.04,NetBanking
58,7,2025-07-30,368.41,UPI
59,7,2025-09-04,293.26,UPI
60,7,2025-11-01,332.6,UPI
61,8,2023-01-31,323.3,Wallet
62,9,2024-09-09,305.55,Card
63,9,2024-10-17,291.84,NetBanking
64,9,2024-11-07,237.75,Wallet
65,9,2024-12-07,284.71,Wallet
66,9,2025-01-09,341.53,UPI
67,9,2025-02-06,364.43,Card
68,9,2025-03-05,290.46,NetBanking
69,9,2025-04-05,305.41,Card
70,9,2025-05-13,314.61,NetBanking
71,9,2025-06-03,300.11,Card
72,9,2025-07-03,283.53,UPI
73,9,2025-09-11,315.05,Wallet
74,9,2025-10-06,287.95,UPI
75,10,2023-05-05,249.72,NetBanking
76,10,2023-06-05,317.65,Card
77,10,2023-07-03,242.64,Wallet
78,10,2023-08-06,347.64,UPI
79,11,2024-04-18,305.36,NetBanking
80,11,2024-05-22,223.66,Wallet
81,11,2024-06-10,269.68,NetBanking
82,11,2024-07-16,326.84,Wallet
83,11,2024-08-19,333.88,UPI
84,11,2024-09-19,345.77,Wallet
85,11,2024-10-09,271.83,Card
86,11,2024-11-15,290.47,NetBanking
87,11,2024-12-14,272.08,Wallet
88,12,2023-09-13,509.42,Card
89,12,2023-10-07,557.67,UPI
90,12,2023-11-04,573.67,NetBanking
91,12,2023-12-01,604.66,Card
92,12,2024-01-11,611.03,NetBanking
93,12,2024-02-08,757.92,UPI
94,13,2023-12-05,311.65,NetBanking
95,13,2024-01-06,308.41,Card
96,13,2024-02-04,277.12,NetBanking
97,13,2024-03-07,333.41,UPI
98,14,2024-05-05,319.46,NetBanking
99,14,2024-06-02,328.22,Wallet
100,15,2023-03-29,1261.02,Wallet
101,15,2023-05-02,862.09,Card
102,15,2023-08-04,1002.47,UPI
103,15,2023-08-31,839.12,UPI
104,15,2023-09-28,901.69,Card
105,15,2023-11-04,867.91,UPI
106,15,2023-12-02,1058.72,Card
107,15,2023-12-27,924.9,NetBanking
108,16,2024-01-10,561.4,NetBanking
109,16,2024-02-18,665.99,NetBanking
110,16,2024-03-16,677.83,UPI
111,16,2024-04-14,435.88,Card
112,16,2024-05-09,532.56,NetBanking
113,16,2024-06-15,666.65,Wallet
114,16,2024-07-09,612.79,Card
115,16,2024-08-15,469.0,Card
116,16,2024-09-07,566.6,UPI
117,16,2024-10-12,469.33,UPI
118,16,2024-12-13,633.64,Card
119,16,2025-01-03,617.38,NetBanking
120,16,2025-02-08,656.21,UPI
121,16,2025-03-03,722.52,NetBanking
122,17,2023-04-14,209.57,Card
123,17,2023-05-19,282.13,Wallet
124,17,2023-06-09,240.7,Wallet
125,17,2023-07-11,409.96,UPI
126,17,2023-08-18,246.46,UPI
127,17,2023-09-11,312.65,UPI
128,18,2025-05-27,929.19,Card
129,18,2025-07-24,1016.48,NetBanking
130,18,2025-08-21,1069.17,UPI
131,18,2025-11-23,1037.47,UPI
132,18,2026-01-16,979.27,UPI
133,18,2026-02-20,1057.42,UPI
134,18,2026-03-19,1127.5,NetBanking
135,18,2026-04-16,983.99,NetBanking
136,18,2026-05-17,1100.52,Card
137,19,2024-11-03,295.26,Wallet
138,19,2024-12-03,276.23,Card
139,19,2024-12-29,291.8,Wallet
140,19,2025-02-01,318.2,UPI
141,19,2025-02-26,344.04,Wallet
142,19,2025-03-28,332.94,Card
143,19,2025-04-23,298.83,Card
144,19,2025-05-28,312.3,Card
145,19,2025-07-02,272.64,NetBanking
146,19,2025-07-26,226.53,Wallet
147,19,2025-09-27,229.51,Wallet
148,20,2023-05-20,271.68,Card
149,20,2023-06-13,281.36,Card
150,20,2023-08-14,281.58,Wallet
151,20,2023-09-12,257.48,NetBanking
152,20,2023-12-07,251.17,NetBanking
153,20,2024-01-13,329.25,NetBanking
154,21,2024-11-02,682.58,Card
155,21,2024-11-30,644.12,NetBanking
156,21,2024-12-25,696.68,UPI
157,21,2025-01-23,481.35,UPI
158,21,2025-03-01,666.71,Card
159,21,2025-04-02,596.63,Wallet
160,21,2025-04-21,747.14,UPI
161,21,2025-05-21,644.35,NetBanking
162,21,2025-06-25,553.46,Wallet
163,21,2025-07-29,574.47,Card
164,22,2023-12-12,598.17,Wallet
165,22,2024-01-06,556.64,UPI
166,23,2025-02-17,282.54,NetBanking
167,24,2023-12-19,293.31,Wallet
168,24,2024-01-18,343.93,UPI
169,24,2024-02-09,297.23,Wallet
170,24,2024-03-09,316.55,Wallet
171,24,2024-04-13,328.94,Wallet
172,25,2024-05-08,466.85,Card
173,26,2024-02-22,347.32,Card
174,26,2024-03-22,253.75,Wallet
175,26,2024-04-24,314.17,NetBanking
176,26,2024-05-18,199.46,UPI
177,26,2024-06-27,260.82,Card
178,26,2024-07-20,324.89,Card
179,26,2024-08-18,309.21,Wallet
180,26,2024-09-21,310.49,Card
181,26,2024-10-17,267.23,Wallet
182,26,2024-12-23,304.81,UPI
183,27,2025-03-19,954.35,UPI
184,27,2025-04-23,1072.39,NetBanking
185,27,2025-05-24,989.48,Card
186,27,2025-06-14,962.98,Wallet
187,27,2025-11-16,1093.93,UPI
188,27,2025-12-14,930.59,NetBanking
189,27,2026-01-21,973.76,Card
190,27,2026-02-14,983.03,UPI
191,27,2026-05-12,964.86,NetBanking
192,27,2026-06-17,939.21,Card
193,27,2026-07-11,857.91,UPI
194,28,2024-02-28,364.32,Card
195,28,2024-03-29,344.31,NetBanking
196,28,2024-05-24,330.46,Card
197,28,2024-06-28,271.39,UPI
198,28,2024-07-25,318.64,NetBanking
199,29,2023-07-13,998.03,Card
200,29,2023-09-20,1017.95,Card
201,29,2023-11-11,1195.01,Card
202,29,2023-12-11,1156.25,Wallet
203,30,2023-10-08,546.29,NetBanking
204,30,2023-11-10,550.85,Card
205,30,2023-12-11,643.14,NetBanking
206,30,2024-01-09,536.52,NetBanking
207,30,2024-02-08,529.06,NetBanking
208,30,2024-03-11,741.8,UPI
209,30,2024-04-09,515.97,Wallet
210,30,2024-05-12,568.82,UPI
211,30,2024-06-09,707.21,Wallet
212,30,2024-07-06,643.22,UPI
213,30,2024-07-31,604.0,Wallet
214,30,2024-09-03,735.69,Card
215,30,2024-11-02,656.09,UPI
216,31,2023-06-15,1174.84,Card
217,31,2023-07-21,1083.33,NetBanking
218,31,2023-08-16,1257.33,Card
219,31,2023-10-17,916.12,NetBanking
220,31,2023-11-15,1081.43,UPI
221,32,2024-04-05,577.81,Card
222,33,2023-11-10,531.67,NetBanking
223,33,2023-12-16,632.66,Wallet
224,33,2024-01-10,597.55,Wallet
225,33,2024-02-09,594.07,Wallet
226,33,2024-03-12,573.85,NetBanking
227,33,2024-04-10,569.74,NetBanking
228,34,2023-02-21,303.31,Wallet
229,34,2023-03-25,333.13,Card
230,34,2023-05-30,317.91,Wallet
231,34,2023-06-23,327.3,Card
232,34,2023-07-29,308.44,UPI
233,34,2023-08-29,301.29,Wallet
234,34,2023-09-19,258.15,NetBanking
235,34,2023-10-28,277.17,Card
236,35,2023-09-20,320.26,UPI
237,35,2023-10-10,312.68,NetBanking
238,35,2023-11-13,295.38,NetBanking
239,35,2024-01-14,330.18,NetBanking
240,36,2025-01-21,261.49,UPI
241,36,2025-02-19,226.06,NetBanking
242,36,2025-03-21,374.79,Card
243,37,2025-05-15,856.47,UPI
244,37,2025-06-09,993.02,UPI
245,38,2024-07-22,1001.65,UPI
246,38,2024-08-19,1065.7,UPI
247,38,2024-09-17,627.41,Card
248,38,2024-11-14,1014.42,Wallet
249,38,2024-12-14,1131.34,NetBanking
250,38,2025-03-22,968.28,UPI
251,38,2025-04-16,1029.05,NetBanking
252,38,2025-06-09,901.66,NetBanking
253,39,2024-04-27,324.46,Card
254,39,2024-06-29,321.16,NetBanking
255,39,2024-07-27,335.94,Card
256,39,2024-08-17,327.59,UPI
257,40,2023-03-10,300.81,Wallet
258,40,2023-04-03,321.8,NetBanking
259,40,2023-04-30,342.37,NetBanking
260,40,2023-06-06,297.79,UPI
261,40,2023-07-30,325.23,UPI
262,40,2023-09-04,275.65,Wallet
263,40,2023-11-05,267.26,UPI
264,40,2023-11-25,280.32,Wallet
265,40,2023-12-27,376.13,Wallet
266,40,2024-01-28,364.79,Card
267,40,2024-02-23,298.62,NetBanking
268,40,2024-03-25,250.32,UPI
269,40,2024-04-28,350.21,UPI
270,40,2024-05-27,283.95,Card
271,41,2024-06-03,318.89,NetBanking
272,41,2024-07-03,333.53,NetBanking
273,41,2024-08-02,304.16,Wallet
274,41,2024-08-30,236.55,UPI
275,41,2024-10-02,323.41,Card
276,41,2024-10-26,291.87,Card
277,41,2024-11-23,285.42,UPI
278,41,2024-12-31,304.21,NetBanking
279,41,2025-01-20,300.81,NetBanking
280,41,2025-03-01,352.45,UPI
281,41,2025-03-22,277.32,Wallet
282,41,2025-04-23,263.54,Card
283,41,2025-06-28,225.29,Card
284,41,2025-07-29,383.43,UPI
285,42,2024-11-14,529.08,NetBanking
286,42,2024-12-23,635.96,NetBanking
287,42,2025-01-15,593.06,Wallet
288,42,2025-02-11,749.93,NetBanking
289,42,2025-03-15,593.24,UPI
290,42,2025-05-20,548.46,Card
291,42,2025-06-12,539.16,NetBanking
292,42,2025-07-15,497.9,Card
293,42,2025-08-12,466.38,NetBanking
294,42,2025-09-08,655.47,Wallet
295,42,2025-10-19,498.79,Wallet
296,42,2025-11-09,556.24,Wallet
297,42,2025-12-08,602.85,Card
298,43,2024-04-29,668.84,Wallet
299,43,2024-05-21,646.29,Card
300,43,2024-06-26,674.17,Wallet
301,44,2024-11-30,609.89,NetBanking
302,44,2025-01-07,473.83,UPI
303,44,2025-02-05,563.31,Wallet
304,44,2025-03-04,516.09,Card
305,45,2025-03-31,1098.15,NetBanking
306,45,2025-05-01,1017.94,Card
307,45,2025-06-02,1105.76,NetBanking
308,45,2025-06-27,1042.87,Card
309,45,2025-07-23,1102.73,Card
310,46,2023-07-18,328.06,UPI
311,46,2023-08-19,333.3,NetBanking
312,46,2023-09-14,303.97,Card
313,46,2023-10-09,296.4,Card
314,46,2023-11-14,335.82,Card
315,46,2023-12-07,324.89,NetBanking
316,46,2024-01-13,288.69,NetBanking
317,46,2024-02-04,319.72,UPI
318,46,2024-03-16,345.75,NetBanking
319,47,2024-11-27,587.38,Card
320,47,2024-12-21,555.19,UPI
321,47,2025-01-24,581.02,NetBanking
322,47,2025-02-21,561.15,NetBanking
323,47,2025-03-20,521.59,Card
324,47,2025-04-23,673.46,Card
325,47,2025-05-26,522.58,Wallet
326,47,2025-06-25,628.8,Wallet
327,48,2024-07-27,362.26,UPI
328,48,2024-08-26,294.53,UPI
329,48,2024-09-18,278.9,Card
330,48,2024-10-22,290.03,UPI
331,48,2024-11-21,241.76,UPI
332,48,2025-01-23,225.84,Card
333,48,2025-02-11,296.92,Wallet
334,49,2025-05-31,307.75,Wallet
335,49,2025-07-01,311.53,Wallet
336,49,2025-07-27,307.21,NetBanking
337,49,2025-08-29,272.66,Card
338,49,2025-09-29,293.92,UPI
339,49,2025-11-01,313.9,Card
340,50,2024-09-24,280.03,Wallet
341,50,2024-10-29,292.33,UPI
342,50,2024-11-28,241.61,NetBanking
343,50,2024-12-24,345.22,Wallet
344,50,2025-01-22,299.52,Wallet
345,50,2025-02-25,363.64,UPI
346,51,2023-11-11,306.64,NetBanking
347,51,2023-12-02,310.12,Wallet
348,51,2024-01-05,317.72,UPI
